>>>>project: hadoop-hdfs
>>>>metrics: APMDc	APMD
>>>>nrun: 10
>>>>tcps: ('complexity_halstead', ['cb_halstead_simple', 'cb_halstead_simple_effort', 'cb_halstead_simple_difficulty', 'cb_halstead_simple_volume', 'cb_halstead_simple_vocabulary', 'cb_halstead_simple_length', 'cb_halstead_simple_div', 'cb_halstead_simple_effort_div', 'cb_halstead_simple_difficulty_div', 'cb_halstead_simple_volume_div', 'cb_halstead_simple_vocabulary_div', 'cb_halstead_simple_length_div', 'cb_halstead_simple_bt', 'cb_halstead_simple_effort_bt', 'cb_halstead_simple_difficulty_bt', 'cb_halstead_simple_volume_bt', 'cb_halstead_simple_vocabulary_bt', 'cb_halstead_simple_length_bt', 'cb_halstead_inherit', 'cb_halstead_inherit_effort', 'cb_halstead_inherit_difficulty', 'cb_halstead_inherit_volume', 'cb_halstead_inherit_vocabulary', 'cb_halstead_inherit_length', 'cb_halstead_inherit_div', 'cb_halstead_inherit_effort_div', 'cb_halstead_inherit_difficulty_div', 'cb_halstead_inherit_volume_div', 'cb_halstead_inherit_vocabulary_div', 'cb_halstead_inherit_length_div', 'cb_halstead_inherit_bt', 'cb_halstead_inherit_effort_bt', 'cb_halstead_inherit_difficulty_bt', 'cb_halstead_inherit_volume_bt', 'cb_halstead_inherit_vocabulary_bt', 'cb_halstead_inherit_length_bt'])
>>>>logdir: logs/halstead_comparison_result
>>>>conf_chg: 2breakfast.hadoop-1-hdfs-site, #params: 3, #misconfs: 1, #ctests: 2006, #failed ctests: 1
>>>>conf_chg: ading1977.hadoop-1-hdfs-site, #params: 3, #misconfs: 1, #ctests: 106, #failed ctests: 1
>>>>conf_chg: cithub.hadoop-1-hdfs-site, #params: 3, #misconfs: 1, #ctests: 106, #failed ctests: 1
>>>>conf_chg: cybermaggedon.hadoop-1-hdfs-site, #params: 6, #misconfs: 1, #ctests: 2119, #failed ctests: 101
>>>>conf_chg: gelog.hadoop-1-hdfs-site, #params: 5, #misconfs: 2, #ctests: 2115, #failed ctests: 3
>>>>conf_chg: hsoni.hadoop-1-hdfs-site, #params: 3, #misconfs: 1, #ctests: 12, #failed ctests: 1
>>>>conf_chg: hughessystique.hadoop-1-hdfs-site, #params: 10, #misconfs: 2, #ctests: 2052, #failed ctests: 5
>>>>conf_chg: kiwenlau.hadoop-slave-1-hdfs-site, #params: 6, #misconfs: 1, #ctests: 2088, #failed ctests: 1
>>>>conf_chg: krejcmat.hadoop-hbase-slave-1-hdfs-site, #params: 6, #misconfs: 1, #ctests: 2089, #failed ctests: 1
>>>>conf_chg: mcapitanio.hadoop-1-hdfs-site, #params: 10, #misconfs: 1, #ctests: 2082, #failed ctests: 2
>>>>conf_chg: pcting.hadoop-single-node-1-hdfs-site, #params: 5, #misconfs: 1, #ctests: 2102, #failed ctests: 1
>>>>conf_chg: portworx.hadoop-yarn-1-hdfs-site, #params: 4, #misconfs: 1, #ctests: 1656, #failed ctests: 1
>>>>conf_chg: robingu.hadoop-1-hdfs-site, #params: 5, #misconfs: 2, #ctests: 2115, #failed ctests: 3
>>>>conf_chg: ruo91.hadoop-1-hdfs-site, #params: 3, #misconfs: 1, #ctests: 2007, #failed ctests: 1
>>>>conf_chg: singularities.hadoop-1-hdfs-site, #params: 5, #misconfs: 2, #ctests: 2116, #failed ctests: 3
>>>>conf_chg: sixeyed.hadoop-dotnet-1-hdfs-site, #params: 6, #misconfs: 2, #ctests: 2111, #failed ctests: 3
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"2breakfast.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"0", "scores":"0.5315516350244497,0.6114157527417747"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"2breakfast.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"1", "scores":"0.5345960071707908,0.6124127617148555"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"2breakfast.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"2", "scores":"0.5364017262078059,0.6139082751744767"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"2breakfast.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"3", "scores":"0.5315516350244495,0.6114157527417747"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"2breakfast.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"4", "scores":"0.5355605119406435,0.6139082751744767"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"2breakfast.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"5", "scores":"0.5360237604612158,0.6134097706879362"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"2breakfast.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"6", "scores":"0.5365129340066166,0.614406779661017"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"2breakfast.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"7", "scores":"0.5316628428232604,0.6119142572283152"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"2breakfast.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"8", "scores":"0.5331044384346345,0.6134097706879362"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"2breakfast.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"9", "scores":"0.5315516350244497,0.6114157527417747"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"ading1977.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"0", "scores":"0.5432551125691155,0.5330188679245284"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"ading1977.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"1", "scores":"0.5432551125691156,0.5330188679245284"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"ading1977.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"2", "scores":"0.5432551125691156,0.5330188679245284"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"ading1977.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"3", "scores":"0.5432551125691156,0.5330188679245284"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"ading1977.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"4", "scores":"0.5432551125691156,0.5330188679245284"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"ading1977.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"5", "scores":"0.5432551125691155,0.5330188679245284"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"ading1977.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"6", "scores":"0.5432551125691156,0.5330188679245284"}
[CPRIO]{"project": "hadoop-hdfs", "conf_chg":"ading1977.hadoop-1-hdfs-site", "tcp":"cb_halstead_simple", "run":"7", "scores":"0.5432551125691156,0.5330188679245284"}
