score	groups
add_ccm	0.995072683519719	a
add_ccm_ca	0.994991030419762	a
add_ccs_ca	0.992763486602531	ab
add_ccs	0.992710329912966	ab
add_st-sys	0.978759652552194	abc
add_st-chg	0.975158441623169	abc
tot_ccm_ca	0.963668725718057	abc
tot_ccm	0.963660421343366	abc
add_st-chg_ca	0.963055838532272	abc
add_st-sys_ca	0.962192392058281	abc
tot_ccs	0.959002423043287	abc
tot_ccs_ca	0.958998334067166	abc
tot_st-sys	0.947159056536882	abc
tot_st-sys_ca	0.946550429104197	abc
tot_pc-chg_ca	0.93506564327598	abc
tot_pc-chg	0.930099875619086	abc
tot_st-chg_ca	0.92557609361779	abc
tot_st-chg	0.922573298699516	abc
add_pc-chg	0.922273148303871	bc
add_pc-sys	0.914210480524912	c
tot_pc-sys_ca	0.911585480402161	c
tot_pc-sys	0.907409129056315	c
add_pc-chg_ca	0.775382124189103	d
add_pc-sys_ca	0.743072299294656	d
