score	groups
add_ccm_ca	0.972799692075095	a
add_ccm	0.972764173182856	a
add_ccs_ca	0.968831423335687	a
add_ccs	0.968776425629618	a
add_st-chg	0.958757419557498	ab
add_st-sys	0.956843957987243	ab
add_st-chg_ca	0.945024063123785	abc
tot_ccm_ca	0.943353052906446	abc
tot_ccm	0.943340324603566	abc
add_st-sys_ca	0.941102618812796	abc
tot_ccs_ca	0.92412984056337	abc
tot_ccs	0.924059200421104	abc
add_pc-chg	0.918854472402647	abc
tot_st-sys	0.900118502890442	abc
tot_st-sys_ca	0.899876090080952	abc
add_pc-sys	0.891272595000042	abc
tot_pc-chg_ca	0.885111673217201	abcd
tot_pc-chg	0.878497205599782	abcd
tot_pc-sys_ca	0.872584209038019	bcd
tot_st-chg	0.86383977026789	bcd
tot_st-chg_ca	0.861633384902512	cd
tot_pc-sys	0.86090924977755	cd
add_pc-chg_ca	0.790919735584308	d
add_pc-sys_ca	0.682114310027888	e
