score	groups
cb_cyclo	0.888777422062081	a
cb_cyclo_bt	0.883079928783172	ab
cb_cyclo_halstead_simple_vocabulary_bt	0.861608909940424	ab
cb_cyclo_halstead_simple_vocabulary	0.861551962459408	ab
cb_cyclo_halstead_simple_volume_bt	0.85854964617759	ab
cb_cyclo_halstead_simple_volume_length_bt	0.85854964617759	ab
cb_cyclo_halstead_simple_volume_vocabulary_bt	0.85854964617759	ab
cb_cyclo_halstead_simple_volume_length	0.858492316359174	ab
cb_cyclo_halstead_simple_volume	0.858490690632163	ab
cb_cyclo_halstead_simple_volume_vocabulary	0.858490264317887	ab
cb_cyclo_halstead_simple_length	0.858484040883787	ab
cb_cyclo_halstead_simple_length_bt	0.858446728022522	ab
cb_cyclo_halstead_inherit_vocabulary_bt	0.851626268154742	ab
cb_cyclo_halstead_inherit_vocabulary	0.851565960353451	ab
cb_cyclo_halstead_inherit_volume_bt	0.849706068103504	ab
cb_cyclo_halstead_inherit_volume_length_bt	0.849706068103504	ab
cb_cyclo_halstead_inherit_volume_vocabulary_bt	0.849706068103504	ab
cb_cyclo_halstead_inherit_volume_vocabulary	0.849656649356037	ab
cb_cyclo_halstead_inherit_volume	0.849652075559563	ab
cb_cyclo_halstead_inherit_volume_length	0.849644517458637	ab
cb_cyclo_halstead_inherit_length	0.849392656109604	ab
cb_cyclo_halstead_inherit_length_bt	0.849333122945736	ab
cb_cyclo_div	0.780554048382435	b
cb_cyclo_halstead_simple_length_div	0.780285563209557	b
cb_cyclo_halstead_simple_volume_div	0.780285563209557	b
cb_cyclo_halstead_simple_volume_length_div	0.780285563209557	b
cb_cyclo_halstead_simple_volume_vocabulary_div	0.780285563209557	b
cb_cyclo_halstead_inherit_length_div	0.780261029352835	b
cb_cyclo_halstead_inherit_vocabulary_div	0.780261029352835	b
cb_cyclo_halstead_inherit_volume_div	0.780261029352835	b
cb_cyclo_halstead_inherit_volume_length_div	0.780261029352835	b
cb_cyclo_halstead_inherit_volume_vocabulary_div	0.780261029352835	b
cb_cyclo_halstead_simple_vocabulary_div	0.780261029352835	b
