score	groups
cb_cyclo_halstead_simple_length_div	0.912391500663876	a
cb_cyclo_halstead_simple_volume_div	0.912391500663876	a
cb_cyclo_halstead_simple_volume_length_div	0.912391500663876	a
cb_cyclo_halstead_simple_volume_vocabulary_div	0.912391500663876	a
cb_cyclo_halstead_inherit_length_div	0.912391306241466	a
cb_cyclo_halstead_inherit_volume_div	0.912391306241466	a
cb_cyclo_halstead_inherit_volume_length_div	0.912391306241466	a
cb_cyclo_halstead_inherit_volume_vocabulary_div	0.912391306241466	a
cb_cyclo_div	0.912367661092779	a
cb_cyclo_halstead_inherit_vocabulary_div	0.912337840078742	a
cb_cyclo_halstead_simple_vocabulary_div	0.912337840078742	a
cb_cyclo_bt	0.866235227284157	ab
cb_cyclo	0.853343773187486	ab
cb_cyclo_halstead_simple_vocabulary	0.8260910264664	b
cb_cyclo_halstead_simple_vocabulary_bt	0.82608333715338	b
cb_cyclo_halstead_simple_volume_length	0.824918170756656	b
cb_cyclo_halstead_simple_volume_vocabulary	0.824910843155117	b
cb_cyclo_halstead_simple_volume	0.824898441316906	b
cb_cyclo_halstead_simple_volume_bt	0.824859997200247	b
cb_cyclo_halstead_simple_volume_length_bt	0.824859997200247	b
cb_cyclo_halstead_simple_volume_vocabulary_bt	0.824859997200247	b
cb_cyclo_halstead_simple_length	0.824403749739771	b
cb_cyclo_halstead_simple_length_bt	0.82437846328211	b
cb_cyclo_halstead_inherit_vocabulary	0.824310147172701	b
cb_cyclo_halstead_inherit_vocabulary_bt	0.824295655557277	b
cb_cyclo_halstead_inherit_volume_vocabulary	0.823413101752397	b
cb_cyclo_halstead_inherit_volume	0.823370962666815	b
cb_cyclo_halstead_inherit_volume_length	0.823361848335611	b
cb_cyclo_halstead_inherit_volume_bt	0.823349330480116	b
cb_cyclo_halstead_inherit_volume_length_bt	0.823349330480116	b
cb_cyclo_halstead_inherit_volume_vocabulary_bt	0.823349330480116	b
cb_cyclo_halstead_inherit_length	0.822818937906179	b
cb_cyclo_halstead_inherit_length_bt	0.822747926501441	b
