score	groups
cb_halstead_simple_vocabulary_bt	0.785866869614373	a
cb_halstead_simple_vocabulary	0.783762077966965	a
cb_halstead_simple_div	0.774843144732775	a
cb_halstead_simple_length_div	0.774843144732775	a
cb_halstead_simple_bt	0.77142752303146	a
cb_halstead_simple_length_bt	0.771280319891126	a
cb_halstead_simple_volume_bt	0.771009481057881	a
cb_halstead_simple_length	0.770191642021142	a
cb_halstead_simple	0.769914115232102	a
cb_halstead_simple_volume	0.768980289937497	a
cb_halstead_simple_volume_div	0.768745754871023	a
cb_halstead_inherit_div	0.762380722270336	a
cb_halstead_inherit_length_div	0.762380722270336	a
cb_halstead_simple_effort_bt	0.761019739733168	a
cb_halstead_simple_effort	0.759240965288013	a
cb_halstead_inherit_volume_div	0.75536934363363	a
cb_halstead_simple_effort_div	0.74324896585689	a
cb_halstead_simple_vocabulary_div	0.739164790262457	a
cb_halstead_simple_difficulty_bt	0.73807554321519	a
cb_halstead_simple_difficulty	0.736442222760045	a
cb_halstead_simple_difficulty_div	0.725282853632403	a
cb_halstead_inherit_vocabulary_bt	0.718156411961112	a
cb_halstead_inherit_vocabulary	0.716544004844303	a
cb_halstead_inherit_vocabulary_div	0.711342177716244	a
cb_halstead_inherit_volume_bt	0.702848179199619	a
cb_halstead_inherit_bt	0.70218782758464	a
cb_halstead_inherit_length_bt	0.702040624444306	a
cb_halstead_inherit_volume	0.700414243011858	a
cb_halstead_inherit	0.700148882589083	a
cb_halstead_inherit_length	0.700115405602926	a
cb_halstead_inherit_effort_div	0.696881175924478	a
cb_halstead_inherit_difficulty_div	0.694190243173205	a
cb_halstead_inherit_effort_bt	0.69212654709115	a
cb_halstead_inherit_effort	0.690825776528547	a
cb_halstead_inherit_difficulty_bt	0.667230950000386	a
cb_halstead_inherit_difficulty	0.665509046294341	a
