score	groups
cb_halstead_simple_div	0.868431178875861	a
cb_halstead_simple_length_div	0.868431178875861	a
cb_halstead_inherit_div	0.86555230426939	ab
cb_halstead_inherit_length_div	0.86555230426939	ab
cb_halstead_simple_volume_div	0.862733432500537	ab
cb_halstead_inherit_volume_div	0.860193921397739	ab
cb_halstead_simple_vocabulary_div	0.815243423281544	abc
cb_halstead_inherit_vocabulary_div	0.808936914884145	abc
cb_halstead_simple_difficulty_div	0.800714090919379	abc
cb_halstead_simple_effort_div	0.800064433069018	abc
cb_halstead_inherit_difficulty_div	0.794331306677572	abc
cb_halstead_inherit_effort_div	0.790661679643691	abc
cb_halstead_simple_vocabulary_bt	0.773662543832845	abc
cb_halstead_simple_bt	0.766777046889518	abc
cb_halstead_simple_length_bt	0.766775880355059	abc
cb_halstead_simple_volume_bt	0.766760752201258	abc
cb_halstead_simple_vocabulary	0.7657141688239	abc
cb_halstead_simple	0.759373641944815	abc
cb_halstead_simple_volume	0.759177388819358	abc
cb_halstead_simple_effort_bt	0.758434538108794	abc
cb_halstead_simple_length	0.758424800792835	abc
cb_halstead_inherit_vocabulary_bt	0.757214271598363	abc
cb_halstead_inherit_volume_bt	0.75094314243097	abc
cb_halstead_inherit_bt	0.750300041853847	abc
cb_halstead_inherit_length_bt	0.750298875319388	abc
cb_halstead_simple_effort	0.748991457220671	abc
cb_halstead_inherit_vocabulary	0.748741266200466	abc
cb_halstead_inherit_effort_bt	0.741681366802275	abc
cb_halstead_inherit_length	0.741363886445091	abc
cb_halstead_inherit	0.741266196933457	abc
cb_halstead_inherit_volume	0.741246204152356	abc
cb_halstead_inherit_effort	0.734862712776319	abc
cb_halstead_simple_difficulty_bt	0.719615890352365	abc
cb_halstead_simple_difficulty	0.712121504129534	abc
cb_halstead_inherit_difficulty_bt	0.69735234374405	bc
cb_halstead_inherit_difficulty	0.689146655354186	c
