org.apache.hadoop.cli.TestCryptoAdminCLI	453.0	613.0	23.0	149.0
org.apache.hadoop.cli.TestHDFSCLI	315.0	920.0	22.0	159.0
org.apache.hadoop.cli.TestXAttrCLI	358.0	1189.0	22.0	153.0
org.apache.hadoop.cli.CLITestCmdDFS	262.0	1281.0	16.0	150.0
org.apache.hadoop.cli.TestDeleteCLI	386.0	1537.0	22.0	157.0
org.apache.hadoop.cli.TestCacheAdminCLI	575.0	1983.0	24.0	173.0
org.apache.hadoop.cli.TestAclCLI	476.0	2220.0	20.0	177.0
org.apache.hadoop.cli.CLITestHelperDFS	404.0	2320.0	18.0	171.0
org.apache.hadoop.tracing.TestTraceAdmin	444.0	696.0	27.0	148.0
org.apache.hadoop.tracing.TestTracing	656.0	1414.0	32.0	241.0
org.apache.hadoop.tracing.TestTracingShortCircuitLocalRead	544.0	1728.0	24.0	253.0
org.apache.hadoop.fs.TestGlobPaths	1308	1308	1308	1308
org.apache.hadoop.fs.TestEnhancedByteBufferAccess	853	853	853	853
org.apache.hadoop.fs.TestVolumeId	361.0	607.0	29.0	64.0
org.apache.hadoop.fs.TestFcHdfsSetUMask	659.0	1449.0	22.0	190.0
org.apache.hadoop.fs.TestSWebHdfsFileContextMainOperations	575.0	1798.0	26.0	232.0
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations	682.0	2237.0	28.0	269.0
org.apache.hadoop.fs.TestHDFSFileContextMainOperations	1165.0	3584.0	33.0	354.0
org.apache.hadoop.fs.TestSymlinkHdfsFileSystem	876.0	3966.0	21.0	370.0
org.apache.hadoop.fs.TestResolveHdfsSymlink	1158.0	4575.0	29.0	422.0
org.apache.hadoop.fs.TestUnbuffer	1170.0	5036.0	27.0	469.0
org.apache.hadoop.fs.TestUrlStreamHandler	1248.0	5463.0	27.0	492.0
org.apache.hadoop.fs.TestSymlinkHdfsFileContext	1072.0	5576.0	18.0	497.0
org.apache.hadoop.fs.TestHdfsNativeCodeLoader	1121.0	5694.0	21.0	510.0
org.apache.hadoop.fs.TestSymlinkHdfs	1955.0	7222.0	32.0	608.0
org.apache.hadoop.fs.TestFcHdfsPermission	1494.0	7366.0	22.0	581.0
org.apache.hadoop.fs.TestFcHdfsCreateMkdir	1504.0	7544.0	21.0	583.0
org.apache.hadoop.fs.TestSymlinkHdfsDisable	1526.0	7744.0	17.0	592.0
org.apache.hadoop.tools.TestHdfsConfigFields	107.0	126.0	16.0	50.0
org.apache.hadoop.tools.TestDelegationTokenFetcher	535.0	772.0	27.0	153.0
org.apache.hadoop.tools.FakeRenewer	239.0	870.0	22.0	147.0
org.apache.hadoop.tools.TestJMXGet	649.0	1542.0	34.0	253.0
org.apache.hadoop.tools.TestDelegationTokenRemoteFetcher	1350.0	3006.0	35.0	405.0
org.apache.hadoop.tools.TestTools	895.0	3594.0	31.0	446.0
org.apache.hadoop.net.TestNetworkTopology	1423.0	2515.0	36.0	245.0
org.apache.hadoop.test.HdfsTestDriver	91.0	118.0	20.0	34.0
org.apache.hadoop.test.MiniDFSClusterManager	573.0	897.0	34.0	182.0
org.apache.hadoop.test.PathUtils	287.0	996.0	19.0	166.0
org.apache.hadoop.hdfs.TestDecommission	1464	1464	1464	1464
org.apache.hadoop.hdfs.TestDFSPermission	1287	1287	1287	1287
org.apache.hadoop.hdfs.TestDFSUtil	1054	1054	1054	1054
org.apache.hadoop.hdfs.TestClientProtocolForPipelineRecovery	758	758	758	758
org.apache.hadoop.hdfs.TestRollingUpgrade	640	640	640	640
org.apache.hadoop.hdfs.TestPread	715	715	715	715
org.apache.hadoop.hdfs.TestFileAppend	728	728	728	728
org.apache.hadoop.hdfs.TestFileCreation	1430	1430	1430	1430
org.apache.hadoop.hdfs.TestAclsEndToEnd	1658	1658	1658	1658
org.apache.hadoop.hdfs.DFSTestUtil	2094	2094	2094	2094
org.apache.hadoop.hdfs.TestReplication	709	709	709	709
org.apache.hadoop.hdfs.TestDFSShell	3727	3727	3727	3727
org.apache.hadoop.hdfs.UpgradeUtilities	615	615	615	615
org.apache.hadoop.hdfs.TestDFSClientRetries	1319	1319	1319	1319
org.apache.hadoop.hdfs.TestBlockStoragePolicy	1424	1424	1424	1424
org.apache.hadoop.hdfs.MiniDFSCluster	3061	3061	3061	3061
org.apache.hadoop.hdfs.TestDistributedFileSystem	1436	1436	1436	1436
org.apache.hadoop.hdfs.TestEncryptionZones	2198	2198	2198	2198
org.apache.hadoop.hdfs.TestQuota	1609	1609	1609	1609
org.apache.hadoop.hdfs.TestDFSUpgradeFromImage	738	738	738	738
org.apache.hadoop.hdfs.TestParallelRead	59.0	77.0	14.0	33.0
org.apache.hadoop.hdfs.TestDatanodeStartupFixesLegacyStorageIDs	250.0	421.0	18.0	110.0
org.apache.hadoop.hdfs.TestFileCreationClient	489.0	950.0	29.0	178.0
org.apache.hadoop.hdfs.TestTrashWithSecureEncryptionZones	1450.0	2871.0	29.0	407.0
org.apache.hadoop.hdfs.TestParallelShortCircuitRead	604.0	2939.0	18.0	374.0
org.apache.hadoop.hdfs.BenchmarkThroughput	1078.0	3792.0	38.0	457.0
org.apache.hadoop.hdfs.TestListFilesInFileContext	1285.0	4768.0	23.0	495.0
org.apache.hadoop.hdfs.TestFileAppend2	2321.0	6951.0	46.0	631.0
org.apache.hadoop.hdfs.TestDeprecatedKeys	1281.0	6951.0	16.0	597.0
org.apache.hadoop.hdfs.TestHDFSFileSystemContract	1345.0	7085.0	20.0	605.0
org.apache.hadoop.hdfs.TestExternalBlockReader	2128.0	8235.0	39.0	705.0
org.apache.hadoop.hdfs.TestDFSOutputStream	2464.0	9629.0	35.0	857.0
org.apache.hadoop.hdfs.TestWriteRead	2847.0	11198.0	43.0	976.0
org.apache.hadoop.hdfs.TestFileLengthOnClusterRestart	2135.0	11358.0	26.0	921.0
org.apache.hadoop.hdfs.TestDatanodeDeath	3021.0	12736.0	46.0	996.0
org.apache.hadoop.hdfs.TestFsShellPermission	2855.0	13694.0	31.0	1046.0
org.apache.hadoop.hdfs.TestSetTimes	3370.0	15015.0	35.0	1126.0
org.apache.hadoop.hdfs.TestPipelines	3098.0	15521.0	31.0	1142.0
org.apache.hadoop.hdfs.TestDFSRollback	3611.0	16981.0	34.0	1235.0
org.apache.hadoop.hdfs.TestSetrepDecreasing	3029.0	16948.0	12.0	1203.0
org.apache.hadoop.hdfs.TestLease	4220.0	18992.0	32.0	1325.0
org.apache.hadoop.hdfs.TestClientReportBadBlock	4142.0	20034.0	37.0	1356.0
org.apache.hadoop.hdfs.TestHDFSPolicyProvider	3886.0	20387.0	26.0	1393.0
org.apache.hadoop.hdfs.TestDFSMkdirs	3919.0	20826.0	25.0	1420.0
org.apache.hadoop.hdfs.TestWriteBlockGetsBlockLengthHint	3906.0	21082.0	30.0	1426.0
org.apache.hadoop.hdfs.TestInstrumentedLock	4099.0	21603.0	24.0	1458.0
org.apache.hadoop.hdfs.TestPersistBlocks	4729.0	22901.0	34.0	1507.0
org.apache.hadoop.hdfs.TestDatanodeLayoutUpgrade	4230.0	23125.0	17.0	1510.0
org.apache.hadoop.hdfs.TestParallelReadUtil	5055.0	24375.0	47.0	1596.0
org.apache.hadoop.hdfs.DFSClientAdapter	4444.0	24493.0	19.0	1571.0
org.apache.hadoop.hdfs.TestFileCreationDelete	4569.0	24791.0	22.0	1582.0
org.apache.hadoop.hdfs.TestMultiThreadedHflush	5099.0	25711.0	38.0	1644.0
org.apache.hadoop.hdfs.TestSetrepIncreasing	4855.0	26110.0	27.0	1652.0
org.apache.hadoop.hdfs.TestDFSInotifyEventInputStream	6764.0	29516.0	33.0	1786.0
org.apache.hadoop.hdfs.TestDFSStartupVersions	5889.0	30392.0	30.0	1823.0
org.apache.hadoop.hdfs.TestDatanodeConfig	5900.0	30969.0	25.0	1846.0
org.apache.hadoop.hdfs.TestFSInputChecker	6520.0	32415.0	35.0	1878.0
org.apache.hadoop.hdfs.TestDFSConfigKeys	5895.0	32430.0	10.0	1871.0
org.apache.hadoop.hdfs.TestMiniDFSCluster	6687.0	33673.0	33.0	1964.0
org.apache.hadoop.hdfs.TestEncryptionZonesWithKMS	6533.0	34267.0	25.0	1998.0
org.apache.hadoop.hdfs.TestParallelShortCircuitLegacyRead	6290.0	34378.0	15.0	1991.0
org.apache.hadoop.hdfs.TestDatanodeRegistration	7393.0	36182.0	35.0	2104.0
org.apache.hadoop.hdfs.TestGetFileChecksum	6795.0	36466.0	28.0	2101.0
org.apache.hadoop.hdfs.TestBalancerBandwidth	6989.0	36980.0	27.0	2130.0
org.apache.hadoop.hdfs.TestDFSClientExcludedNodes	6989.0	37366.0	25.0	2143.0
org.apache.hadoop.hdfs.TestWriteConfigurationToDFS	6904.0	37528.0	20.0	2145.0
org.apache.hadoop.hdfs.TestGetBlocks	7793.0	39027.0	39.0	2223.0
org.apache.hadoop.hdfs.TestAppendSnapshotTruncate	8496.0	40990.0	46.0	2315.0
org.apache.hadoop.hdfs.TestFileStatus	8619.0	42909.0	29.0	2343.0
org.apache.hadoop.hdfs.TestDisableConnCache	7995.0	43009.0	20.0	2313.0
org.apache.hadoop.hdfs.TestHttpPolicy	8004.0	43175.0	14.0	2322.0
org.apache.hadoop.hdfs.TestDFSStorageStateRecovery	8942.0	45036.0	31.0	2389.0
org.apache.hadoop.hdfs.TestModTime	8804.0	45775.0	36.0	2385.0
org.apache.hadoop.hdfs.TestSafeMode	9778.0	48026.0	38.0	2502.0
org.apache.hadoop.hdfs.TestKeyProviderCache	9051.0	48300.0	24.0	2465.0
org.apache.hadoop.hdfs.TestConnCache	9149.0	48696.0	30.0	2482.0
org.apache.hadoop.hdfs.TestDFSShellGenericOptions	9209.0	49098.0	20.0	2500.0
org.apache.hadoop.hdfs.TestDataStream	9215.0	49317.0	18.0	2492.0
org.apache.hadoop.hdfs.TestTrashWithEncryptionZones	9566.0	49999.0	26.0	2517.0
org.apache.hadoop.hdfs.MiniDFSNNTopology	9626.0	50582.0	28.0	2559.0
